Ticker,Net cash flow / Change in cash,Average Payables,Average Receivables,currentRatio,SG&A to Revenue,daysOfPayablesOutstanding,daysOfInventoryOutstanding,eBITperRevenue,Debt to Assets,Debt to Equity,Payout Ratio,ROE,R&D to Revenue,PE ratio,Dividend Yield,Name
CMCSA,0.1189230079902994,0.4739437088046694,1.638676795794637,-0.3568532264738951,-0.044034456933462585,-0.06682137946150891,-0.026435474851065906,0.050575255725707265,0.3376755480674202,0.055796138570720515,0.010642457723687026,-0.015926048419831394,-0.049349916535160306,-0.10854368257690952,0.033407174224039424,Comcast Corporation
KMI,0.942280391302616,0.012576462949687886,0.09405814444479049,-0.3632414963934176,-0.06016975914359598,-0.06637659570683839,-0.027190536468824484,0.05144539411995516,0.39662104631516326,0.022762138741192976,0.15221200845092334,-0.015926700218500154,-0.049349916535160306,-0.016143173151876352,0.213108531104485,"Kinder Morgan, Inc."
INTC,-0.11323475438347712,0.16032275189735387,0.9469981636076678,-0.18546507063299184,-0.058845631141272316,-0.0702550052384333,-0.027909630015006962,0.05178572511641967,-0.14113088821117561,-0.03238951591779262,-0.007532011626431139,-0.015925382011882122,-0.04683688849270674,-0.13655058350109353,0.021842235414901844,Intel Corporation
MU,0.4378312108255536,0.2069489427161756,0.6659270201299297,0.007278158938886578,-0.060563486598832365,-0.06165240268086879,-0.022344651409475166,0.05322521127876379,-0.34049945054398584,-0.04772646916755557,-0.057846595195705654,-0.015924509388319547,-0.04842461750697656,-0.1916941639993747,-0.205898098057346,"Micron Technology, Inc."
GE,-2.8182431505523997,0.9825172536068562,6.219718282069091,-0.1877998163916855,-0.05750144059345891,-0.06420531732012093,-0.01828938528194004,0.04745696977310406,0.11436666392068018,0.18612005384598113,-0.08482133391535472,-0.015931023441739335,-0.049349916535160306,-0.23141672008470596,0.24602412617664576,General Electric Company
BAC,6.1797224640035715,-0.08448287828047209,11.410625971963256,-0.4262590869161447,-0.04656484548335761,-0.07541706461634984,0.012922132066000337,0.052267076253029766,-0.182573798242012,0.062006910491777444,-0.0186280034401875,-0.015926372633479558,-0.049349916535160306,-0.1451955212867753,-0.01107335965725899,Bank of America Corporation
AAPL,1.7508191940378828,3.5459063026593554,7.522808463748709,-0.29461322525797606,-0.05965816423360729,-0.05529229631533509,-0.022069443870752402,0.051293526979876984,0.07413082893928555,0.019854036124039253,-0.014610489162792954,-0.015923846913638108,-0.04864542750233859,-0.056609389732770105,-0.09914481674222982,Apple Inc.
MSFT,1.3368250991665607,0.4958790474091695,4.272491579469923,0.028085666676759796,-0.0561848360456939,-0.06794954496024792,-0.018453063224340694,0.05181520943372188,0.08016620418649474,0.014045137680227176,0.0888883310310379,-0.015925843328008893,-0.04759658002436895,0.1983017235144693,-0.05911233624906125,Microsoft Corporation
SIRI,0.010252182210221162,-0.028997674949316224,-0.13058723975820444,-0.4701993870459941,-0.055537818953649384,-0.0632192468023291,-0.03146241468183452,0.05159478765196016,1.1399780975964284,-0.3352121412075381,-0.02474992995812204,-0.015930605391558682,-0.04906864666011582,-0.028535975074821505,-0.1356188545248945,Sirius XM Holdings Inc.
HPQ,-0.5506916018351279,0.934150738402884,0.6922888026682686,-0.34608442860955724,-0.05915158495999104,-0.051183621120350214,-0.02839432388917541,0.04938429610378248,-0.20772119510538364,-0.7428141422007619,-0.02551517077286386,-0.01597381121486653,-0.049034473684643115,-0.16383876657987673,-0.0003980315257473765,HP Inc.
